Liabilities	Liabilities	Liabilities	Liabilities	Liabilities	Liabilities		
Average liquidity ratio by farm size	Average liquidity ratio by farm size	Average liquidity ratio by farm size					
Farm Size	Average liquidity (%)	95% Confidence Interval (%) (±)					
Spare & part-time	616	532					
Small	560	768					
Medium	1609	977					
Large	479	627					
Very large	1198	644					
Distribution of liquidity by farm size	Distribution of liquidity by farm size	Distribution of liquidity by farm size	Distribution of liquidity by farm size	Distribution of liquidity by farm size	Distribution of liquidity by farm size		
	Percentage of farm businesses						
	Liquidity						
Farm Size	0-<60%	60%-<100%	100%-<140%	140%-<200%	200%+		
Spare & part-time	6	5	7	7	74		
Small	10	7	9	7	67		
Medium	9	8	8	8	68		
Large	7	13	9	11	60		
Very large	8	17	12	14	50		
Average liquidity ratio by farm tenure	Average liquidity ratio by farm tenure	Average liquidity ratio by farm tenure					
Farm Tenure	Average liquidity (%)	95% Confidence Interval (%)  (±)					
Owner occupied	270	51					
Mixed - mainly owner occupied	260	43					
Mixed - mainly tenanted	223	34					
Tenanted	203	35					
Distribution of liquidity by farm tenure	Distribution of liquidity by farm tenure	Distribution of liquidity by farm tenure	Distribution of liquidity by farm tenure	Distribution of liquidity by farm tenure	Distribution of liquidity by farm tenure		
	Percentage of farm businesses						
	Liquidity bands						
Farm Tenure	0-<60%	60%-<100%	100%-<140%	140%-<200%	200%+		
Owner occupied	7	8	6	7	72		
Mixed - mainly owner occupied	8	9	9	8	67		
Mixed - mainly tenanted	9	13	9	9	59		
Tenanted	10	9	13	13	55		
Net Interest payments as a proportion of Farm Business Income	Net Interest payments as a proportion of Farm Business Income	Net Interest payments as a proportion of Farm Business Income	Net Interest payments as a proportion of Farm Business Income	Net Interest payments as a proportion of Farm Business Income	Net Interest payments as a proportion of Farm Business Income	Net Interest payments as a proportion of Farm Business Income	Net Interest payments as a proportion of Farm Business Income
Net interest payments as a proportion of Farm Business Income by farm type	Net interest payments as a proportion of Farm Business Income by farm type	Net interest payments as a proportion of Farm Business Income by farm type					
