,PUMA Number,PUMA Name,Latitude,Longitude,Elevation,Time Zone
1336,G34000906,"Middlesex County (Central)--New Brunswick City, South River & Highland Park Boroughs PUMA",40.466,-74.423,17,-5
1337,G34000907,Middlesex County (East Central)--Perth Amboy City & Sayreville Borough PUMA,40.479,-74.303,28,-5
1338,G34001001,Somerset County (North & West) PUMA,40.677,-74.537,87,-5
1339,G34001002,Somerset County (South) PUMA,40.466,-74.607,35,-5
1340,G34001003,Somerset County (Central)--North Plainfield & Somerville Boroughs PUMA,40.589,-74.559,86,-5
1341,G34002500,Salem & Cumberland (North) Counties--Bridgeton City PUMA,39.548,-75.346,18,-5
1342,G34002600,Cape May & Atlantic (South Central) Counties--Ocean City & Somers Point City PUMA,39.086,-74.848,5,-5
1343,G34002202,Gloucester County (South & West)--Glassboro Borough PUMA,39.695,-75.143,44,-5
1344,G34002301,Mercer County (West Central)--Trenton City PUMA,40.251,-74.787,37,-5
1345,G34002302,Mercer County (North)--Princeton Borough PUMA,40.318,-74.711,43,-5
1346,G34002303,Mercer County (South) PUMA,40.212,-74.64,29,-5
1347,G34002400,Cumberland County (South)--Vineland & Millville Cities PUMA,39.298,-75.102,4,-5
1348,G34000702,Hudson County (Northeast)--Union City & Hoboken Cities PUMA,40.759,-74.022,0,-5
1349,G34001904,"Union County (Southeast)--Linden, Rahway Cities & Roselle Borough (South) PUMA",40.623,-74.267,10,-5
1350,G34002002,Burlington County (West Central) PUMA,39.899,-74.881,20,-5
1351,G35000805,"Albuquerque City (Northwest Mesa), Paradise Hills & Navajo Nation-Tohajiilee Chapter PUMA",35.161,-106.913,1681,-7
1352,G35000806,Albuquerque City (Southwest Mesa) & Bernalillo County (Southwest Mesa & South Valley) PUMA,35.02,-106.738,1547,-7
1353,G35000900,Southwest New Mexico PUMA,33.396,-107.621,2149,-7
