Table 22  Number of Worksites in operation,,,,,,,,,,,
Regions,Sectors,Size,Number of worksites,CV,Total number of Employees on Sept 30th 2007,CV,,,,,
,,20-99 employees,"1,391",9.1%,"16,178",7.9%,,,,,
,,100+ employees,"5,369",11.2%,"221,873",10.5%,,,,,
,Air transport,Total all size categories,"1,329",5.8%,"32,813",24.9%,,,,,
,,1-5 employees,336,9.7%,636,11.2%,,,,,
,,6-19 employees,195,9.5%,"1,101",7.6%,,,,,
,,20-99 employees,460,11.3%,"3,768",6.2%,,,,,
,,100+ employees,339,13.5%,"27,308",29.9%,,,,,
,Rail transport,Total all size categories,189,29.0%,"18,846",30.2%,,,,,
,,1-5 employees,x,x,x,x,,,,,
,,6-19 employees,...,...,...,...,,,,,
,,20-99 employees,...,...,...,...,,,,,
,,100+ employees,x,x,x,x,,,,,
,Road transport,Total all size categories,"1,962",8.9%,"27,248",10.9%,,,,,
,,1 employee,135,38.3%,259,35.5%,,,,,
,,1-5 employees,x,x,x,x,,,,,
,,6-19 employees,932,10.9%,"3,227",13.3%,,,,,
,,20-99 employees,335,19.1%,"6,119",19.2%,,,,,
,,100+ employees,x,x,x,x,,,,,
,Maritime transport,Total all size categories,410,9.6%,"8,626",18.7%,,,,,
,,1-5 employees,71,13.3%,177,11.1%,,,,,
,,6-19 employees,86,20.1%,389,9.5%,,,,,
,,20-99 employees,95,9.2%,978,7.4%,,,,,
,,100+ employees,158,21.8%,"7,081",22.9%,,,,,
,Postal services and pipelines,Total all size categories,"1,311",12.6%,"30,266",15.6%,,,,,
,,1-5 employees,145,23.7%,280,24.4%,,,,,
,,6-19 employees,29,28.3%,236,14.7%,,,,,
,,20-99 employees,27,28.0%,396,29.9%,,,,,
,,100+ employees,"1,110",14.7%,"29,355",16.2%,,,,,
,Banks,Total all size categories,"1,906",27.8%,"57,554",27.2%,,,,,
,,1-5 employees,13,23.6%,18,21.2%,,,,,
,,6-19 employees,35,10.2%,165,12.5%,,,,,
,,20-99 employees,31,17.1%,422,20.4%,,,,,
,,100+ employees,"1,827",29.1%,"56,950",27.5%,,,,,
,"Feed, flour, seed and grain",Total all size categories,633,10.0%,"7,596",11.4%,,,,,
,,1-5 employees,84,27.4%,234,29.2%,,,,,
,,6-19 employees,165,19.2%,809,12.0%,,,,,
,,20-99 employees,89,14.8%,"1,461",15.5%,,,,,
,,100+ employees,295,17.7%,"5,092",17.4%,,,,,
,Telecommunications and broadcasting,Total all size categories,"1,247",16.5%,"53,546",23.5%,,,,,
,,1-5 employees,73,20.3%,190,14.8%,,,,,
,,6-19 employees,69,14.7%,486,12.3%,,,,,
