,,,,,,,,
New Table 02,"Occupational distribution of employees in the federal jurisdiction by gender, employer size and industry, December 2015",,,,,,,
Size of the company,"Industry
",Occupation,Number of employees,,,,,
,,,Male,Quality indicator,Female,Quality indicator,Total,Quality indicator
,,,SUM,,SUM,,SUM,
,,Other Occupations,622,B,329,B,949,B
,Other,All occupations,600,D,500,D,"1,100",D
,,Senior managers,X,X,X,X,X,X
,,Middle and other managers,X,X,X,X,X,X
,,Supervisors,54,F,34,E,88,E
,,Professionals,X,X,X,X,X,X
,,Technical / Trades,137,E,X,X,X,X
,,"Marketing, sales and services",X,X,X,X,X,X
,,Clerical / Administrative,4,F,88,E,92,E
,,Truck and bus drivers / Manual labourer with no trade certification,X,X,X,X,X,X
,,Other Occupations,X,X,X,X,X,X
50 to 99 employees,All industries,All occupations,"28,500",B,"6,600",A,"35,200",A
,,Senior managers,"1,170",B,316,B,"1,486",A
,,Middle and other managers,"1,334",B,542,B,"1,876",A
,,Supervisors,"1,183",B,399,B,"1,582",B
,,Professionals,"1,249",B,513,B,"1,762",B
,,Technical / Trades,"2,768",A,417,C,"3,184",A
,,"Marketing, sales and services",833,B,558,B,"1,390",B
,,Clerical / Administrative,"1,134",B,"2,609",B,"3,743",B
,,Truck and bus drivers / Manual labourer with no trade certification,"15,858",B,688,B,"16,546",B
,,Other Occupations,"3,001",C,588,B,"3,589",C
,Air transportation,All occupations,"2,900",B,600,B,"3,600",B
,,Senior managers,139,B,30,C,169,B
,,Middle and other managers,215,B,62,C,277,B
,,Supervisors,207,C,32,C,238,C
,,Professionals,X,X,X,X,436,C
,,Technical / Trades,X,X,X,X,X,X
,,"Marketing, sales and services",X,X,20,E,X,X
,,Clerical / Administrative,X,X,X,X,X,X
,,Truck and bus drivers / Manual labourer with no trade certification,X,X,X,X,546,C
,,Other Occupations,X,X,X,X,568,D
,Rail transportation,All occupations,X,X,X,X,300,E
,,Senior managers,X,X,X,X,X,X
,,Middle and other managers,X,X,X,X,X,X
,,Supervisors,X,X,X,X,X,X
,,Professionals,X,X,0,,X,X
,,Technical / Trades,X,X,X,X,X,X
,,"Marketing, sales and services",0,,0,,0,
,,Clerical / Administrative,X,X,X,X,X,X
,,Truck and bus drivers / Manual labourer with no trade certification,X,X,X,X,X,X
,,Other Occupations,X,X,X,X,X,X
,Road transportation,All occupations,"17,600",B,"2,400",B,"20,000",B
,,Senior managers,X,X,X,X,666,B
,,Middle and other managers,468,C,167,C,636,C
,,Supervisors,468,C,150,E,617,C
,,Professionals,X,X,X,X,X,X
