Federal Jurisdiction Workplace Survey 2008 Table 16b: Implementation of policy or program to improve working conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sectors,Working Conditions,Number of regional companies that have a policy or program in place,CV,Number of regional companies that plan to put in place in next 12 months,CV,Number of regional companies that have no plan to put in place in next 12 months,CV,Number of employees working for regional companies that have a policy or program in place,CV,Number of employees working for regional companies that plan to put in place in next 12 months,CV,Number of employees working for regional companies that have no plan to put in place in next 12 months,CV,,,,,,,,,,,,,,,,,,,,
"Feed, flour, seed and grain",Workplace health and safety,306,6.7%,24,37.5%,214,14.4%,"13,929",7.8%,633,22.8%,"1,433",11.3%,,,,,,,,,,,,,,,,,,,,
,Physical health or fitness promotion,64,9.8%,15,29.2%,465,7.3%,"6,099",14.1%,"1,236",21.0%,"8,661",9.2%,,,,,,,,,,,,,,,,,,,,
,Mental or psychological health promotion,45,12.8%,13,22.8%,486,6.9%,"4,432",18.8%,"1,431",19.3%,"10,133",8.1%,,,,,,,,,,,,,,,,,,,,
,Work-life balance,41,14.8%,10,31.0%,493,6.8%,"4,416",18.6%,"2,293",28.6%,"9,287",6.0%,,,,,,,,,,,,,,,,,,,,
,Child care support,X,X,X,X,535,6.3%,X,X,X,X,"15,160",7.1%,,,,,,,,,,,,,,,,,,,,
,Options for employees on work schedules,126,12.5%,20,42.7%,398,8.4%,"5,577",15.4%,429,18.4%,"9,989",8.2%,,,,,,,,,,,,,,,,,,,,
,Prevention of harassment in the workplace,177,9.4%,16,21.2%,351,9.1%,"11,942",9.1%,522,24.6%,"3,532",6.8%,,,,,,,,,,,,,,,,,,,,
,Employee counselling services,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,
,Diability management/return-to-work program,X,X,X,X,428,7.4%,X,X,X,X,"5,655",7.7%,,,,,,,,,,,,,,,,,,,,
,Appeal process against decision related to harassment,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,
,Appeal process against dismissal,X,X,X,X,489,6.9%,X,X,X,X,"10,871",7.9%,,,,,,,,,,,,,,,,,,,,
,Dispute or grievance review process,73,10.3%,16,23.5%,455,7.4%,"5,544",14.6%,182,30.2%,"10,270",8.5%,,,,,,,,,,,,,,,,,,,,
Telecommunications and broadcasting,Workplace health and safety,274,6.3%,70,15.2%,422,5.4%,"127,008",17.6%,"6,026",18.8%,"18,632",39.6%,,,,,,,,,,,,,,,,,,,,
,Physical health or fitness promotion,105,10.7%,30,17.0%,631,3.7%,"98,187",22.9%,"4,476",23.7%,"49,002",16.6%,,,,,,,,,,,,,,,,,,,,
,Mental or psychological health promotion,86,12.3%,49,13.1%,631,3.6%,"97,455",23.1%,"15,888",21.9%,"38,322",19.4%,,,,,,,,,,,,,,,,,,,,
,Work-life balance,113,10.7%,46,16.1%,607,3.8%,"67,688",17.8%,"11,335",30.0%,"72,643",28.6%,,,,,,,,,,,,,,,,,,,,
,Child care support,X,X,X,X,743,3.0%,X,X,X,X,"102,695",12.7%,,,,,,,,,,,,,,,,,,,,
,Options for employees on work schedules,155,9.1%,42,20.6%,569,4.2%,"54,280",16.3%,938,31.2%,"96,448",23.2%,,,,,,,,,,,,,,,,,,,,
,Prevention of harassment in the workplace,278,5.3%,36,20.8%,451,5.1%,"145,345",16.2%,916,33.1%,"5,405",9.9%,,,,,,,,,,,,,,,,,,,,
,Employee counselling services,175,7.7%,15,22.8%,575,4.0%,"139,337",16.9%,942,36.6%,"11,387",11.8%,,,,,,,,,,,,,,,,,,,,
,Diability management/return-to-work program,160,7.2%,15,25.9%,591,3.9%,"141,308",16.7%,"1,282",32.2%,"9,075",7.1%,,,,,,,,,,,,,,,,,,,,
,Appeal process against decision related to harassment,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,
,Appeal process against dismissal,X,X,X,X,638,3.7%,X,X,X,X,"62,912",30.8%,,,,,,,,,,,,,,,,,,,,
,Dispute or grievance review process,149,8.2%,32,22.4%,585,4.0%,"135,075",17.5%,"1,280",40.1%,"15,310",9.0%,,,,,,,,,,,,,,,,,,,,
Others: fisheries and mines,Workplace health and safety,538,29.7%,102,56.3%,958,17.6%,"44,993",19.7%,"1,261",150.1%,"4,196",32.5%,,,,,,,,,,,,,,,,,,,,
,Physical health or fitness promotion,180,40.3%,28,168.5%,"1,389",15.6%,"35,138",25.5%,"2,812",33.3%,"12,499",19.8%,,,,,,,,,,,,,,,,,,,,
,Mental or psychological health promotion,105,53.6%,20,44.1%,"1,473",15.2%,"25,037",26.3%,"9,372",43.9%,"16,040",35.0%,,,,,,,,,,,,,,,,,,,,
,Work-life balance,200,49.7%,24,33.3%,"1,373",15.4%,"24,631",32.7%,"4,473",35.9%,"21,345",22.6%,,,,,,,,,,,,,,,,,,,,
,Child care support,28,76.3%,26,83.7%,"1,544",14.7%,"10,066",55.2%,77,83.6%,"40,306",18.9%,,,,,,,,,,,,,,,,,,,,
,Options for employees on work schedules,432,33.3%,58,40.2%,"1,108",17.0%,"38,452",23.5%,"2,973",49.8%,"9,024",20.3%,,,,,,,,,,,,,,,,,,,,
,Prevention of harassment in the workplace,334,22.6%,41,55.5%,"1,223",17.8%,"44,526",20.5%,351,32.8%,"5,572",17.2%,,,,,,,,,,,,,,,,,,,,
,Employee counselling services,133,21.4%,35,64.6%,"1,429",15.8%,"42,557",21.3%,259,41.4%,"7,633",16.6%,,,,,,,,,,,,,,,,,,,,
