Federal Jurisdiction Workplace Survey 2004 Table 5: Number of employees by length of service with company (1) (3),,,,,,,,,,,,,,
Area,Sector,Size, Less than 1 year ,Q, 1 year or more but less than 5 years ,Q, 5 years or more but less than 10 years ,Q, 10 years or more ,Q, Total ,Q,,
,,6-19 employees,383,16.0%,563,13.9%,321,14.3%,153,15.6%,1420,10.3%,,
,,20-99 employees,734,13.8%,1723,12.3%,504,13.2%,716,15.2%,3678,11.4%,,
,,100+ employees,9053,55.2%,20613,62.9%,11701,96.5%,17445,99.6%,58813,74.6%,,
,Others: fisheries and mines,Total all size categories,2151,12.6%,5689,13.6%,3610,12.7%,7894,19.6%,19343,15.3%,,
,,1-5 employees,x,x,x,x,x,x,x,x,x,x,,
,,6-19 employees,221,22.8%,386,15.8%,187,18.1%,51,20.4%,846,15.8%,,
,,20-99 employees,x,x,x,x,x,x,x,x,x,x,,
,,100+ employees,1741,15.2%,4712,16.3%,3031,15.0%,7337,21.0%,16822,17.5%,,
West and Territories,Total all sectors,Total all size categories,29987,16.4%,83267,13.8%,43201,14.9%,101177,15.5%,257632,13.5%,,
,,1-5 employees,1101,7.6%,1420,7.7%,880,9.1%,1087,8.3%,4488,4.8%,,
,,6-19 employees,2169,7.4%,3869,6.2%,1673,6.7%,1384,8.9%,9094,5.1%,,
,,20-99 employees,5064,8.7%,8136,7.7%,3239,6.9%,3813,9.1%,20252,6.6%,,
,,100+ employees,21653,22.6%,69842,16.4%,37410,17.3%,94892,16.5%,223797,15.5%,,
,Air transport,Total all size categories,4347,85.3%,11059,83.3%,7827,62.2%,10027,41.0%,33260,62.2%,,
,,1-5 employees,99,12.1%,236,13.7%,200,13.2%,160,16.8%,696,9.3%,,
,,6-19 employees,309,10.7%,731,9.7%,302,11.7%,170,12.8%,1512,8.1%,,
,,20-99 employees,638,13.5%,1445,13.7%,613,10.1%,683,16.9%,3379,10.6%,,
,,100+ employees,3302,112.4%,8646,106.5%,6711,72.6%,9014,45.6%,27674,74.7%,,
,Rail transport,Total all size categories,321,21.8%,3010,25.4%,2817,26.6%,20041,31.0%,26189,29.7%,,
,,1-5 employees,...,...,...,...,...,...,...,...,...,...,,
,,6-19 employees,x,x,x,x,x,x,x,x,x,x,,
,,20-99 employees,...,...,...,...,...,...,...,...,...,...,,
,,100+ employees,x,x,x,x,x,x,x,x,x,x,,
,Road transport,Total all size categories,7322,9.4%,8511,8.6%,3440,9.3%,3907,10.2%,23179,8.1%,,
,,1 employee,156,19.7%,130,18.8%,65,38.1%,183,22.4%,533,11.2%,,
,,1-5 employees,x,x,x,x,x,x,x,x,x,x,,
,,6-19 employees,1125,13.0%,1317,13.1%,478,14.2%,605,17.8%,3524,10.6%,,
,,20-99 employees,2730,14.0%,3751,14.4%,1142,14.1%,1054,19.7%,8677,12.8%,,
,,100+ employees,x,x,x,x,x,x,x,x,x,x,,
,Maritime transport,Total all size categories,322,12.5%,516,11.8%,330,15.0%,705,18.5%,1873,13.4%,,
,,1-5 employees,x,x,x,x,x,x,x,x,x,x,,
,,6-19 employees,184,13.1%,238,11.8%,122,13.2%,163,19.3%,707,10.9%,,
,,20-99 employees,98,33.2%,181,30.0%,120,37.9%,431,30.4%,830,29.9%,,
,,100+ employees,x,x,x,x,x,x,x,x,x,x,,
,Postal services and pipelines,Total all size categories,4982,58.6%,10444,47.1%,6207,52.7%,19977,63.3%,41610,56.4%,,
,,1-5 employees,46,15.4%,58,9.3%,37,14.4%,23,14.9%,163,8.5%,,
,,6-19 employees,x,x,x,x,x,x,x,x,x,x,,
,,20-99 employees,x,x,x,x,x,x,x,x,x,x,,
,,100+ employees,4783,61.1%,10090,48.8%,6071,54.0%,19674,64.3%,40617,57.9%,,
,Banks,Total all size categories,5085,17.0%,19245,14.3%,11901,14.5%,32783,14.5%,69013,14.3%,,
,,1-5 employees,x,x,x,x,x,x,x,x,x,x,,
,,6-19 employees,x,x,x,x,x,x,x,x,x,x,,
,,20-99 employees,x,x,x,x,x,x,x,x,x,x,,
,,100+ employees,5049,17.2%,19141,14.4%,11782,14.7%,32651,14.6%,68623,14.4%,,
,"Feed, flour, seed and grain",Total all size categories,362,24.4%,2244,43.2%,739,35.9%,1489,44.9%,4833,39.3%,,
,,1-5 employees,x,x,x,x,x,x,x,x,x,x,,
,,6-19 employees,72,17.9%,159,24.1%,47,28.3%,38,42.2%,316,19.1%,,
,,20-99 employees,274,32.9%,350,25.6%,235,31.6%,273,53.2%,1131,28.5%,,
,,100+ employees,x,x,x,x,x,x,x,x,x,x,,
,Telecommunications and broadcasting,Total all size categories,5883,12.4%,24514,14.8%,7805,23.9%,9033,30.2%,47236,16.5%,,
,,1-5 employees,69,22.0%,137,19.2%,71,25.4%,46,25.7%,323,13.0%,,
,,6-19 employees,197,20.4%,330,17.3%,117,16.5%,163,17.5%,807,12.8%,,
,,20-99 employees,1046,16.5%,1759,12.6%,842,11.5%,855,14.1%,4502,10.9%,,
,,100+ employees,4572,15.7%,22288,16.3%,6775,27.5%,7969,34.3%,41604,18.8%,,
,Others: fisheries and mines,Total all size categories,1364,11.6%,3723,10.5%,2136,12.8%,3216,17.1%,10438,12.4%,,
,,1-5 employees,135,23.7%,174,15.4%,124,22.1%,92,19.5%,525,13.5%,,
,,6-19 employees,236,14.5%,970,13.5%,499,15.4%,148,19.9%,1854,10.6%,,
,,20-99 employees,131,11.2%,370,9.8%,126,13.2%,194,11.7%,822,9.8%,,
,,100+ employees,862,17.4%,2208,16.5%,1386,18.8%,2782,19.7%,7238,17.7%,,
Unionization,,,,,,,,,,,,,,
Companies(1) with unionized employees,,,42546,30.4%,108020,22.2%,69929,24.1%,195194,23.2%,415690,21.5%,,
Companies(1) with no unionized employees,,,60632,7.5%,142330,10.2%,76152,9.5%,145299,12.5%,424413,9.7%,,
"Source: Statistics Canada, Small Business and Special Surveys Division: Federal Jurisdiction Workplace Survey 2004, Question 9",,,,,,,,,,,,,,
Note: Employer survey - Data in this survey reflects the employer's perspective.,,,,,,,,,,,,,,
         The number of employees working in a company who are being offered a benefit is not necessarily equal to the number of employees using or receiving that benefit.,,,,,,,,,,,,,,
